transcriptId,meetingType,model,groundTruthCount,predictionCount,truePositive,falsePositive,falseNegative,precision,recall,f1,latencyMs,error
transcript-013,SPRINT_REVIEW,gpt-5.6-luna,5,5,5,0,0,1,1,1,17998,
transcript-014,RETROSPECTIVE,gpt-5.6-luna,5,5,5,0,0,1,1,1,10093,
transcript-015,TECHNICAL_DISCUSSION,gpt-5.6-luna,5,5,5,0,0,1,1,1,11124,
transcript-016,DAILY_STANDUP,gpt-5.6-luna,5,5,5,0,0,1,1,1,14468,
transcript-017,SPRINT_PLANNING,gpt-5.6-luna,5,4,4,0,1,1,0.8,0.8889,10270,
transcript-018,SPRINT_REVIEW,gpt-5.6-luna,5,5,5,0,0,1,1,1,10660,
transcript-019,RETROSPECTIVE,gpt-5.6-luna,5,5,5,0,0,1,1,1,10362,
transcript-020,TECHNICAL_DISCUSSION,gpt-5.6-luna,5,5,5,0,0,1,1,1,9355,
transcript-021,DAILY_STANDUP,gpt-5.6-luna,5,4,4,0,1,1,0.8,0.8889,10517,
transcript-022,SPRINT_PLANNING,gpt-5.6-luna,5,5,5,0,0,1,1,1,13764,
transcript-023,SPRINT_REVIEW,gpt-5.6-luna,5,5,5,0,0,1,1,1,10181,
transcript-024,RETROSPECTIVE,gpt-5.6-luna,5,5,5,0,0,1,1,1,12345,
transcript-025,TECHNICAL_DISCUSSION,gpt-5.6-luna,5,4,4,0,1,1,0.8,0.8889,11031,
transcript-026,DAILY_STANDUP,gpt-5.6-luna,5,5,5,0,0,1,1,1,10124,
transcript-027,SPRINT_PLANNING,gpt-5.6-luna,5,5,5,0,0,1,1,1,10949,
transcript-028,SPRINT_REVIEW,gpt-5.6-luna,5,5,5,0,0,1,1,1,15576,
transcript-029,RETROSPECTIVE,gpt-5.6-luna,5,4,4,0,1,1,0.8,0.8889,10955,
transcript-030,TECHNICAL_DISCUSSION,gpt-5.6-luna,5,5,5,0,0,1,1,1,10330,
transcript-031,DAILY_STANDUP,gpt-5.6-luna,5,5,5,0,0,1,1,1,16246,
transcript-032,SPRINT_PLANNING,gpt-5.6-luna,5,5,5,0,0,1,1,1,12402,
transcript-033,SPRINT_REVIEW,gpt-5.6-luna,5,4,4,0,1,1,0.8,0.8889,10459,
transcript-034,RETROSPECTIVE,gpt-5.6-luna,5,5,5,0,0,1,1,1,12675,
transcript-035,TECHNICAL_DISCUSSION,gpt-5.6-luna,5,5,5,0,0,1,1,1,10840,
transcript-036,DAILY_STANDUP,gpt-5.6-luna,5,5,5,0,0,1,1,1,12548,
transcript-037,SPRINT_PLANNING,gpt-5.6-luna,5,5,5,0,0,1,1,1,12031,
transcript-038,SPRINT_REVIEW,gpt-5.6-luna,5,5,5,0,0,1,1,1,10533,
transcript-039,RETROSPECTIVE,gpt-5.6-luna,5,5,5,0,0,1,1,1,9890,
transcript-040,TECHNICAL_DISCUSSION,gpt-5.6-luna,5,5,5,0,0,1,1,1,13575,
transcript-041,DAILY_STANDUP,gpt-5.6-luna,5,4,4,0,1,1,0.8,0.8889,10088,
transcript-042,SPRINT_PLANNING,gpt-5.6-luna,5,5,5,0,0,1,1,1,10892,
transcript-043,SPRINT_REVIEW,gpt-5.6-luna,5,5,5,0,0,1,1,1,11332,
transcript-044,RETROSPECTIVE,gpt-5.6-luna,5,5,5,0,0,1,1,1,10326,
transcript-045,TECHNICAL_DISCUSSION,gpt-5.6-luna,5,4,4,0,1,1,0.8,0.8889,8917,
transcript-046,DAILY_STANDUP,gpt-5.6-luna,5,5,5,0,0,1,1,1,12327,
transcript-047,SPRINT_PLANNING,gpt-5.6-luna,5,5,5,0,0,1,1,1,10179,
transcript-048,SPRINT_REVIEW,gpt-5.6-luna,5,5,5,0,0,1,1,1,17680,
transcript-049,RETROSPECTIVE,gpt-5.6-luna,5,5,5,0,0,1,1,1,12348,
transcript-050,TECHNICAL_DISCUSSION,gpt-5.6-luna,5,5,5,0,0,1,1,1,10697,
transcript-051,DAILY_STANDUP,gpt-5.6-luna,5,5,5,0,0,1,1,1,9636,
transcript-052,SPRINT_PLANNING,gpt-5.6-luna,5,5,5,0,0,1,1,1,12693,
transcript-053,SPRINT_REVIEW,gpt-5.6-luna,5,4,4,0,1,1,0.8,0.8889,10852,
transcript-054,RETROSPECTIVE,gpt-5.6-luna,5,5,5,0,0,1,1,1,10601,
transcript-055,TECHNICAL_DISCUSSION,gpt-5.6-luna,5,5,5,0,0,1,1,1,12561,
transcript-056,DAILY_STANDUP,gpt-5.6-luna,5,5,5,0,0,1,1,1,12869,
transcript-057,SPRINT_PLANNING,gpt-5.6-luna,5,4,4,0,1,1,0.8,0.8889,15631,
transcript-058,SPRINT_REVIEW,gpt-5.6-luna,5,5,5,0,0,1,1,1,14361,
transcript-059,RETROSPECTIVE,gpt-5.6-luna,5,5,5,0,0,1,1,1,11761,
transcript-060,TECHNICAL_DISCUSSION,gpt-5.6-luna,5,5,5,0,0,1,1,1,14024,
