transcriptId,meetingType,result,similarity,groundTruthText,predictedText,assigneeUserIdCorrect,assigneeNameCorrect,dueDateCorrect,sourceSupported
transcript-013,SPRINT_REVIEW,TP,1,Hoàn thiện API quản lý công việc,Hoàn thiện API quản lý công việc,true,true,true,true
transcript-013,SPRINT_REVIEW,TP,1,Bổ sung kiểm thử phân quyền workspace,Bổ sung kiểm thử phân quyền workspace,true,true,true,true
transcript-013,SPRINT_REVIEW,TP,1,Sửa lỗi hiển thị avatar trong backlog,Sửa lỗi hiển thị avatar trong backlog,true,true,true,true
transcript-013,SPRINT_REVIEW,TP,1,Cập nhật tài liệu hướng dẫn người dùng,Cập nhật tài liệu hướng dẫn người dùng,true,true,true,true
transcript-013,SPRINT_REVIEW,TP,1,Kiểm tra luồng tạo và hoàn thành sprint,Kiểm tra luồng tạo và hoàn thành sprint,true,true,true,true
transcript-014,RETROSPECTIVE,TP,1,Cập nhật tài liệu hướng dẫn người dùng,Cập nhật tài liệu hướng dẫn người dùng,true,true,true,true
transcript-014,RETROSPECTIVE,TP,1,Kiểm tra luồng tạo và hoàn thành sprint,Kiểm tra luồng tạo và hoàn thành sprint,true,true,true,true
transcript-014,RETROSPECTIVE,TP,1,Tối ưu truy vấn danh sách cuộc họp,Tối ưu truy vấn danh sách cuộc họp,true,true,true,true
transcript-014,RETROSPECTIVE,TP,1,Đối chiếu số liệu báo cáo tiến độ,Đối chiếu số liệu báo cáo tiến độ,true,true,true,true
transcript-014,RETROSPECTIVE,TP,1,Thiết kế lại trạng thái rỗng của dashboard,Thiết kế lại trạng thái rỗng của dashboard,true,true,true,true
transcript-015,TECHNICAL_DISCUSSION,TP,1,Đối chiếu số liệu báo cáo tiến độ,Đối chiếu số liệu báo cáo tiến độ,true,true,true,true
transcript-015,TECHNICAL_DISCUSSION,TP,1,Thiết kế lại trạng thái rỗng của dashboard,Thiết kế lại trạng thái rỗng của dashboard,true,true,true,true
transcript-015,TECHNICAL_DISCUSSION,TP,1,Kiểm thử tải cho API trợ lý dự án,Kiểm thử tải cho API trợ lý dự án,true,true,true,true
transcript-015,TECHNICAL_DISCUSSION,TP,1,Rà soát cảnh báo công việc quá hạn,Rà soát cảnh báo công việc quá hạn,true,true,true,true
transcript-015,TECHNICAL_DISCUSSION,TP,1,Chuẩn hóa dữ liệu transcript tiếng Việt,Chuẩn hóa dữ liệu transcript tiếng Việt,true,true,true,true
transcript-016,DAILY_STANDUP,TP,1,Rà soát cảnh báo công việc quá hạn,Rà soát cảnh báo công việc quá hạn,true,true,true,true
transcript-016,DAILY_STANDUP,TP,1,Chuẩn hóa dữ liệu transcript tiếng Việt,Chuẩn hóa dữ liệu transcript tiếng Việt,true,true,true,true
transcript-016,DAILY_STANDUP,TP,1,Xác nhận tiêu chí nghiệm thu với khách hàng,Xác nhận tiêu chí nghiệm thu với khách hàng,true,true,true,true
transcript-016,DAILY_STANDUP,TP,1,Hoàn thiện API quản lý công việc,Hoàn thiện API quản lý công việc,true,true,true,true
transcript-016,DAILY_STANDUP,TP,1,Bổ sung kiểm thử phân quyền workspace,Bổ sung kiểm thử phân quyền workspace,true,true,true,true
transcript-017,SPRINT_PLANNING,TP,1,Hoàn thiện API quản lý công việc,Hoàn thiện API quản lý công việc,true,true,true,true
transcript-017,SPRINT_PLANNING,TP,1,Bổ sung kiểm thử phân quyền workspace,Bổ sung kiểm thử phân quyền workspace,true,true,true,true
transcript-017,SPRINT_PLANNING,TP,1,Sửa lỗi hiển thị avatar trong backlog,Sửa lỗi hiển thị avatar trong backlog,true,true,true,true
transcript-017,SPRINT_PLANNING,TP,1,Cập nhật tài liệu hướng dẫn người dùng,Cập nhật tài liệu hướng dẫn người dùng,true,true,true,true
transcript-017,SPRINT_PLANNING,TP,1,Kiểm tra luồng tạo và hoàn thành sprint,Kiểm tra luồng tạo và hoàn thành sprint,true,true,true,true
transcript-018,SPRINT_REVIEW,TP,1,Cập nhật tài liệu hướng dẫn người dùng,Cập nhật tài liệu hướng dẫn người dùng,true,true,true,true
transcript-018,SPRINT_REVIEW,TP,1,Kiểm tra luồng tạo và hoàn thành sprint,Kiểm tra luồng tạo và hoàn thành sprint,true,true,true,true
transcript-018,SPRINT_REVIEW,TP,1,Tối ưu truy vấn danh sách cuộc họp,Tối ưu truy vấn danh sách cuộc họp,true,true,true,true
transcript-018,SPRINT_REVIEW,TP,1,Đối chiếu số liệu báo cáo tiến độ,Đối chiếu số liệu báo cáo tiến độ,true,true,true,true
transcript-018,SPRINT_REVIEW,TP,1,Thiết kế lại trạng thái rỗng của dashboard,Thiết kế lại trạng thái rỗng của dashboard,true,true,true,true
transcript-019,RETROSPECTIVE,TP,1,Đối chiếu số liệu báo cáo tiến độ,Đối chiếu số liệu báo cáo tiến độ,true,true,true,true
transcript-019,RETROSPECTIVE,TP,1,Thiết kế lại trạng thái rỗng của dashboard,Thiết kế lại trạng thái rỗng của dashboard,true,true,true,true
transcript-019,RETROSPECTIVE,TP,1,Kiểm thử tải cho API trợ lý dự án,Kiểm thử tải cho API trợ lý dự án,true,true,true,true
transcript-019,RETROSPECTIVE,TP,1,Rà soát cảnh báo công việc quá hạn,Rà soát cảnh báo công việc quá hạn,true,true,true,true
transcript-019,RETROSPECTIVE,TP,1,Chuẩn hóa dữ liệu transcript tiếng Việt,Chuẩn hóa dữ liệu transcript tiếng Việt,true,true,true,true
transcript-020,TECHNICAL_DISCUSSION,TP,1,Rà soát cảnh báo công việc quá hạn,Rà soát cảnh báo công việc quá hạn,true,true,true,true
transcript-020,TECHNICAL_DISCUSSION,TP,1,Chuẩn hóa dữ liệu transcript tiếng Việt,Chuẩn hóa dữ liệu transcript tiếng Việt,true,true,true,true
transcript-020,TECHNICAL_DISCUSSION,TP,1,Xác nhận tiêu chí nghiệm thu với khách hàng,Xác nhận tiêu chí nghiệm thu với khách hàng,true,true,true,true
transcript-020,TECHNICAL_DISCUSSION,TP,1,Hoàn thiện API quản lý công việc,Hoàn thiện API quản lý công việc,true,true,true,true
transcript-020,TECHNICAL_DISCUSSION,TP,1,Bổ sung kiểm thử phân quyền workspace,Bổ sung kiểm thử phân quyền workspace,true,true,true,true
transcript-021,DAILY_STANDUP,TP,1,Hoàn thiện API quản lý công việc,Hoàn thiện API quản lý công việc,true,true,true,true
transcript-021,DAILY_STANDUP,TP,1,Bổ sung kiểm thử phân quyền workspace,Bổ sung kiểm thử phân quyền workspace,true,true,true,true
transcript-021,DAILY_STANDUP,TP,1,Sửa lỗi hiển thị avatar trong backlog,Sửa lỗi hiển thị avatar trong backlog,true,true,true,true
transcript-021,DAILY_STANDUP,TP,1,Cập nhật tài liệu hướng dẫn người dùng,Cập nhật tài liệu hướng dẫn người dùng,true,true,true,true
transcript-021,DAILY_STANDUP,TP,1,Kiểm tra luồng tạo và hoàn thành sprint,Kiểm tra luồng tạo và hoàn thành sprint,true,true,true,true
transcript-022,SPRINT_PLANNING,TP,1,Cập nhật tài liệu hướng dẫn người dùng,Cập nhật tài liệu hướng dẫn người dùng,true,true,true,true
transcript-022,SPRINT_PLANNING,TP,1,Kiểm tra luồng tạo và hoàn thành sprint,Kiểm tra luồng tạo và hoàn thành sprint,true,true,true,true
transcript-022,SPRINT_PLANNING,TP,1,Tối ưu truy vấn danh sách cuộc họp,Tối ưu truy vấn danh sách cuộc họp,true,true,true,true
